tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
865,14:59.1,29:24.3,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3273,Manila & 1st,40.72165072,-74.04288411,42188,Subscriber,1983,1
757,15:30.6,28:08.4,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,26257,Subscriber,1991,1
531,18:40.1,27:32.0,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,42243,Customer,1969,0
398,24:58.2,31:36.6,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42286,Subscriber,1983,1
524,25:25.4,34:10.0,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42392,Customer,1969,0
519,25:25.5,34:04.9,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42448,Customer,1969,0
774,25:56.6,38:51.0,3186,Grove St PATH,40.71958612,-74.04311746,3273,Manila & 1st,40.72165072,-74.04288411,42377,Subscriber,1969,1
714,27:09.8,39:04.6,3186,Grove St PATH,40.71958612,-74.04311746,3273,Manila & 1st,40.72165072,-74.04288411,42395,Subscriber,1975,2
1091,40:34.7,58:46.6,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.7177325,-74.043845,42243,Subscriber,1970,1
536,45:29.1,54:25.4,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42187,Subscriber,1984,1
690,46:46.0,58:16.5,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42286,Subscriber,1989,0
691,47:40.9,59:12.6,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42399,Subscriber,1984,2
566,56:39.9,06:06.1,3195,Sip Ave,40.7308971,-74.06391263,3191,Union St,40.7182113,-74.0836394,42418,Subscriber,1991,1
311,05:39.5,10:50.8,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,42394,Subscriber,1986,2
174,12:12.3,15:06.5,3481,York St,40.71649,-74.04105,3187,Warren St,40.7211236,-74.03805095,42350,Subscriber,1972,1
604,24:16.3,34:20.8,3638,Washington St,40.7242941,-74.0354826,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,29297,Customer,1976,1
471,46:15.1,54:07.0,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,42252,Subscriber,1977,1
450,42:38.9,50:09.3,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,29284,Subscriber,1975,1
862,48:44.7,03:07.2,3195,Sip Ave,40.7308971,-74.06391263,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42286,Subscriber,1995,1
